Roènı preh¾ad prijímate¾ov pod¾a stavu k 31. decembru 2025 pod¾a § 50 zákona è. 595/2003 Z. z. o dani z príjmov v znení neskorších predpisov;;;;;
IÈO;Názov prijímate¾a;Sídlo prijímate¾a;;;Poskytnutı súhrn podielov zaplatenej dane (eur)
;;Adresa;Obec;PSÈ;
00166529;Astronomickı ústav Slovenskej akadémie vied, verejná vıskumná inštitúcia;Tatranská Lomnica .;Vysoké Tatry;05960;1 184,15
00157716;Univerzita Konštantína Filozofa v Nitre;Tr. Andreja Hlinku 1;Nitra;94974;5 070,62
00177431;Slovenskı zväz protifašistickıch bojovníkov;Štúrova 8;Bratislava - mestská èas Staré Mesto;81572;6 229,50
00177466;Slovenskı Èervenı krí;Grösslingova 24;Bratislava - mestská èas Staré Mesto;81446;73 917,92
00177474;Dobrovo¾nı hasièskı zbor Visolaje; 40;Visolaje;01861;2 994,25
001774740101;Dobrovo¾nı hasièskı zbor Bratislava-Jarovce;Jantárová 19;Bratislava - mestská èas Jarovce;85110;3 699,09
001774740107;Dobrovo¾nı hasièskı zbor Bratislava - Èunovo;Skıcovská 16/2;Bratislava - mestská èas Èunovo;85110;1 098,93
001774740201;Dobrovo¾nı hasièskı zbor Rohoník;;Rohoník;90638;3 698,94
001774740202;Dobrovo¾nı hasièskı zbor Plaveckı Mikuláš; 307;Plaveckı Mikuláš;90635;506,25
001774740203;Dobrovo¾nı hasièskı zbor Láb;Hlavná 222/20;Láb;90067;947,06
001774740204;Dobrovo¾nı hasièskı zbor Plaveckı Štvrtok;Hasièská ulica 304/1;Plaveckı Štvrtok;90068;3 007,81
001774740207;Dobrovo¾nı hasièskı zbor Sološnica; 491;Sološnica;90637;1 622,25
001774740214;Dobrovo¾nı hasièskı zbor Závod;Štúrova 1050;Závod;90872;547,81
001774740217;Dobrovo¾nı hasièskı zbor Plavecké Podhradie; 78;Plavecké Podhradie;90636;2 515,55
001774740218;Dobrovo¾nı hasièskı zbor 1 Zohor;Kováèska ulica 280/31;Zohor;90051;1 486,78
001774740307;Dobrovo¾nı hasièskı zbor Svätı Jur;Prostredná 92/29;Svätı Jur;90021;2 166,79
