# source=https://pfseform.financnasprava.sk/Formulare/eFormVzor/DP/form.621.prijimatelia_2026.html
# source_last_modified=Wed, 17 Jun 2026 06:44:32 GMT
# generated_at=2026-06-30T15:35:09.541Z
ico;obchMeno;pravnaForma;mesto;ulica;supisneCislo;orientacneCislo;psc;stat;iban;kodBanky;nazovBanky
55753574;OZ Duša moja;Občianske združenie;Bratislava - mestská časť Ružinov;Ružinovská;4810;6;82101;SK;SK4883300000002302794458;8330;Fio banka a.s
42448654;Výnimočný NS;Občianske združenie;Bratislava - mestská časť Staré Mesto;Krížna;;21;81107;SK;SK1502000000005083708858;0200;Všeobecná úverová banka, a.s.
52598578;Združenie priateľov prírody Grinava;Občianske združenie;Pezinok;Štúrova;3330;54;90203;SK;SK7409000000005175672485;0900;Slovenská sporiteľňa, a.s.
42154731;Občianske združenie BENIMED Piešťany;Občianske združenie;Piešťany;Javorová;2882;25;92101;SK;SK6475000000004007048427;7500;Československá obchodná banka, a.s.
42390222;MÁŠA;Občianske združenie;Trstená;CVČ, Nám.M.R.Štefánika;438;27;02801;SK;SK3202000000003575458753;0200;Všeobecná úverová banka, a.s.
126649790042;Slovenský zväz telesne postihnutých, Základná organizácia Trenčianska Teplá;Občianske združenie;Trenčianska Teplá;Školská;99;18;91401;SK;SK7865000000000020029935;6500;365.bank
42301521;Dobrovoľný hasičský zbor Šalková;Občianske združenie;Banská Bystrica;Hronská;3530;4;97401;SK;SK1083300000002802223213;8330;Fio banka a.s
31947255;Obecný futbalový klub Šuňava;Občianske združenie;Šuňava;;205;;05939;SK;SK6402000000003214987553;0200;Všeobecná úverová banka, a.s.
53486170;Dotyk k uzdraveniu;Občianske združenie;Spišské Podhradie;Starý jarok;642;52;05304;SK;SK4909000000005178823883;0900;Slovenská sporiteľňa, a.s.
42421268;S rukou v ruke;Občianske združenie;Nová Kelča;;72;;09404;SK;SK7409000000005080758761;0900;Slovenská sporiteľňa, a.s.
54345341;PRIATELIA SADOV A ZÁHRAD;Občianske združenie;Čierny Potok;;53;;98031;SK;SK6202000000004557594756;0200;Všeobecná úverová banka, a.s.
35515325;Diecézna charita Rožňava;Účelové zariadenie cirkvi a náboženskej spoločnosti;Rožňava;Kósu-Schoppera;141;22;04801;SK;SK7302000011690018137582;0200;Všeobecná úverová banka, a.s.
14224291;Telovýchovná jednota Slovan Považská Bystrica;Občianske združenie;Považská Bystrica;Hliny;1420;21;01707;SK;SK3909000000000063672138;0900;Slovenská sporiteľňa, a.s.
37884760;V K M STARÁ ĽUBOVŇA;Občianske združenie;Stará Ľubovňa;Obchodná;1108;1;06401;SK;SK6275000000004030051819;7500;Československá obchodná banka, a.s.
54088721;NEVER GIVE UP;Občianske združenie;Budmerice;;2067;;90086;SK;SK4009000000005197445232;0900;Slovenská sporiteľňa, a.s.
42131782;Odborový zväz zamestnancov železníc;Občianske združenie;Bratislava - mestská časť Nové Mesto;Rožňavská;1399;1;83104;SK;SK3511000000002625116694;1100;Tatra banka, a.s.
173196170189;SRRZ - RZ pri Základnej škole s materskou školou;Občianske združenie;Omšenie;;629;;914 43;SK;SK6465000000000020187036;6500;365.bank
30790255;Slovenský zväz telesne postihnutých, republiková špecifická organizácia Asociácia polio v Slovenskej republike;Občianske združenie;Vrakúň;Hlavná ulica;64;38;93025;SK;SK0356000000008629771001;5600;Prima banka Slovensko, a.s.
42187061;SENIOR pri Domove MÁRIE;Občianske združenie;Banská Štiavnica;Špitálska;1324;3;96901;SK;SK1756000000001444743002;5600;Prima banka Slovensko, a.s.
17315115;Klub vodných športov, Karlova Ves;Občianske združenie;Bratislava - mestská časť Karlova Ves;Botanická;;59;84104;SK;SK5811000000002622792451;1100;Tatra banka, a.s.
42265185;MEDICAL VISION;Občianske združenie;Bratislava - mestská časť Ružinov;Záhradnícka;4837;55;82108;SK;SK3311110000001622865003;1111;UniCredit Bank Czech Republic and Slovakia, a.s.
37956370;Združenie rodičov pri MŠ Slovenská Ľupča;Občianske združenie;Slovenská Ľupča;Ul.oslobodenia;2;;97613;SK;SK9502000000002081973451;0200;Všeobecná úverová banka, a.s.
37917838;KLUB VENUŠA v Považskej Bystrici;Občianske združenie;Považská Bystrica;Lánska;940;51 4;01701;SK;SK5609000000000362418543;0900;Slovenská sporiteľňa, a.s.
53046625;"""""Ježko Ochranárik""""";Občianske združenie;Ješkova Ves;;48;;95845;SK;SK9183300000002301849971;8330;Fio banka a.s
37819127;Športový klub Bystričan - Lyžiarik;Občianske združenie;Banská Bystrica;Tatranská;6384;95;97411;SK;SK3011000000002625131819;1100;Tatra banka, a.s.
42102405;KTITOR;Občianske združenie;Košice - mestská časť Juh;Rastislavova;;3;04001;SK;SK1909000000000448812453;0900;Slovenská sporiteľňa, a.s.
42433606;Spevácky zbor GLÓRIA DEO Bytča;Občianske združenie;Bytča - Veľká Bytča;Pšurnovická;1051;52;01401;SK;SK2575000000004023789874;7500;Československá obchodná banka, a.s.
53256247;Golden Boys;Občianske združenie;Bratislava - mestská časť Podunajské Biskupice;Kazanská;12024;25;82106;SK;SK1502000000004352277351;0200;Všeobecná úverová banka, a.s.
36094412;Klub priateľov turistiky Galanta;Občianske združenie;Matúškovo;;811;;925 01;SK;SK5002000000001790431255;0200;Všeobecná úverová banka, a.s.
50088475;Občianske združenie Hannelie;Občianske združenie;Košice - mestská časť Sever;Sládkovičova;3036;62;04001;SK;SK3683300000002101316265;8330;Fio banka a.s
52267628;Občianske združenie Materskej školy Podhájom;Občianske združenie;Čerín;;57;;97401;SK;SK6609000000005184837771;0900;Slovenská sporiteľňa, a.s.
50041941;"""""Rodičovské združenie Železničný riadok""""";Občianske združenie;Levoča;Železničný riadok;;3;05401;SK;SK3711110000001375836001;1111;UniCredit Bank Czech Republic and Slovakia, a.s.
31793975;Folklórne združenie Madovec;Občianske združenie;Bratislava;Pražská;;5;81104;SK;SK8011000000002621748723;1100;Tatra banka, a.s.
53519353;PMJ Bratislava, o.z.;Občianske združenie;Nitra;A.Žarnova;118;7;94907;SK;SK4283300000002102081875;8330;Fio banka a.s
173196171159;SRRZ - RZ pri Strednej odbornej škole technickej;Občianske združenie;Piešťany;Nová;5245;9;921 01;SK;SK6909000000000048280996;0900;Slovenská sporiteľňa, a.s.
42135931;Bowlingový klub Saturn Malacky;Občianske združenie;Malacky;Bernolákova;2423;24;90101;SK;SK2875000000004030082404;7500;Československá obchodná banka, a.s.
173196171076;SRRZ- RZ pri Materskej škole;Občianske združenie;Veľké Kapušany;P. O. Hviezdoslava;;65;07901;SK;SK1609000000000552837538;0900;Slovenská sporiteľňa, a.s.
31872778;Športový klub Dolná Streda;Občianske združenie;Dolná Streda;Športová;;1;92563;SK;SK2409000000000202557202;0900;Slovenská sporiteľňa, a.s.
52898571;Hugo Holý;Občianske združenie;Svätý Jur;Kozmonautov;931;11;90021;SK;SK1309000000005175356781;0900;Slovenská sporiteľňa, a.s.
42159679;Občianske združenie Chrústik;Občianske združenie;Hoste;;32;;92545;SK;SK9509000000005224832386;0900;Slovenská sporiteľňa, a.s.
34013059;Športový klub polície Topoľčany;Občianske združenie;Topoľčany;Obchodná;654;1;95501;SK;SK1909000000000262947552;0900;Slovenská sporiteľňa, a.s.
50031121;Otcovo srdce pre Slovensko;Občianske združenie;Obyce;Cintorínska;;205;95195;SK;SK2383300000002700947704;8330;Fio banka a.s
31808930;Metropolitný orchester Bratislava;Občianske združenie;Bratislava - mestská časť Karlova Ves;Majerníkova;3007;12;84105;SK;SK8731000000004030103009;3100;Prima banka Slovensko, a.s. (bývalá Sberbank Slovensko, a.s.)
42008042;Uni2010;Občianske združenie;Banská Bystrica;Tajovského;413;10;97401;SK;SK6931000000004280062924;3100;Prima banka Slovensko, a.s. (bývalá Sberbank Slovensko, a.s.)
42432391;MARTINSKÍ MEDICI;Občianske združenie;Martin;Námestie SNP;4062;1;03601;SK;SK5509000000005074575547;0900;Slovenská sporiteľňa, a.s.
42049644;POHODA NITRA;Občianske združenie;Nitra;Benkova;381;30;94911;SK;SK3309000000000233508964;0900;Slovenská sporiteľňa, a.s.
42225647;Telovýchovná jednota Partizán Súľov;Občianske združenie;Súľov-Hradná;Súľov;;;01352;SK;SK5083300000002701180891;8330;Fio banka a.s
45026572;Jasmína;Občianske združenie;Brezno;Detský domov Brezno, Fraňa Kráľa;;4;97701;SK;SK9375000000004008949008;7500;Československá obchodná banka, a.s.
173196171211;SRRZ - RZ pri Materskej škole;Občianske združenie;Šamorín;Veterná;496;21;93101;SK;SK1902000000004035928851;0200;Všeobecná úverová banka, a.s.
55187307;Mentolka;Občianske združenie;Bratislava - mestská časť Staré Mesto;Na Hrebienku;4766;1;81102;SK;SK5075000000004032487317;7500;Československá obchodná banka, a.s.
17312981;Spoločenstvo ľudí na pomoc telesne postihnutým Samaritán;Občianske združenie;Bratislava - mestská časť Devínska Nová Ves;Novoveská;32;;84107;SK;SK5002000000000130934012;0200;Všeobecná úverová banka, a.s.
37998234;Občianske združenie Pre rozvoj obce Gemerský sad Gömörliget fejlesztéséért Polgári Társulás;Občianske združenie;Gemerský Sad;;70;;04913;SK;SK5565000000000020283810;6500;365.bank
42014212;S LÁSKOU K ČLOVEKU;Občianske združenie;Púchov;F. Hečku;1449;5;02001;SK;SK8409000000000362934564;0900;Slovenská sporiteľňa, a.s.
42326443;Občianske združenie pri Oddelení fyziatrie, balneológie a liečebnej rehabilitácie UNLP Košice, Rastislavova 43, pracovisko Trieda SNP č. 1;Občianske združenie;Košice - mestská časť Západ;Trieda SNP;457;1;04011;SK;SK9475000000004019715020;7500;Československá obchodná banka, a.s.
50475517;Kopecký Hokejová Škola;Občianske združenie;Dubnica nad Váhom;Pod hájom;1098;106;01841;SK;SK4175000000004024746200;7500;Československá obchodná banka, a.s.
51253259;Alpine Ski Martin;Občianske združenie;Martin;A.Kmeťa;592;44;03601;SK;SK7009000000005142990153;0900;Slovenská sporiteľňa, a.s.
53588223;NGO n. o.;Nezisková organizácia poskytujúca všeobecne prospešné služby;Žilina;Dedinská;52;141;01001;SK;SK8183300000002701980098;8330;Fio banka a.s
30868033;Zohorské ozveny;Občianske združenie;Zohor;Na Dieloch;838;6;90051;SK;SK5309000000000188161104;0900;Slovenská sporiteľňa, a.s.
